0	0
0	-0.1
0	-0.2
0	-0.3
-0.1530734	-0.3695518
-0.2828427	-0.2828427
-0.3535534	-0.3535534
-0.3526712	-0.4854102
-0.4114497	-0.5663119
-0.4702282	-0.6472136
-0.5290067	-0.7281153
-0.5877853	-0.809017
-0.309017	-0.9510565
-0.2781153	-0.8559509
-0.2472136	-0.7608452
-0.2163119	-0.6657396
-0.1854102	-0.5706339
-0.1913417	-0.4619398
0	-0.4
0	-0.5
0	-0.6
0	-0.7
0	-0.8
0	-0.9
0	-1.
0.309017	-0.9510565
0.2781153	-0.8559509
0.2472136	-0.7608452
0.2163119	-0.6657396
0.1854102	-0.5706339
0.1913417	-0.4619398
0.1530734	-0.3695518
0.09510565	-0.0309017
0.1414214	-0.1414214
0.2828427	-0.2828427
0.3535534	-0.3535534
0.3526712	-0.4854102
0.4114497	-0.5663119
0.4702282	-0.6472136
0.5290067	-0.7281153
0.5877853	-0.809017
0.7281153	-0.5290067
0.6472136	-0.4702282
0.5663119	-0.4114497
0.4854102	-0.3526712
0.7608452	-0.2472136
0.6657396	-0.2163119
0.5706339	-0.1854102
0.4619398	-0.1913417
0.3695518	-0.1530734
0.2598076	-0.15
0.2	0
0.3	0
0.4	0
0.5	0
0.6	0
0.7	0
0.8	0
0.7608452	0.2472136
0.6657396	0.2163119
0.5706339	0.1854102
0.4619398	0.1913417
0.3695518	0.1530734
0.2598076	0.15
0.05877853	0.0809017
0.1414214	0.1414214
0.2828427	0.2828427
0.3535534	0.3535534
0.4854102	0.3526712
0.5663119	0.4114497
0.6472136	0.4702282
0.4702282	0.6472136
0.4114497	0.5663119
0.3526712	0.4854102
0.15	0.2598076
0.1530734	0.3695518
0.1913417	0.4619398
0.1854102	0.5706339
0.2163119	0.6657396
0.2472136	0.7608452
0	0.8
0	0.7
0	0.6
0	0.5
0	0.4
0	0.3
0	0.2
-0.15	0.2598076
-0.1530734	0.3695518
-0.1913417	0.4619398
-0.1854102	0.5706339
-0.2163119	0.6657396
-0.2472136	0.7608452
-0.4702282	0.6472136
-0.4114497	0.5663119
-0.3526712	0.4854102
-0.05877853	0.0809017
-0.1414214	0.1414214
-0.2828427	0.2828427
-0.3535534	0.3535534
-0.4854102	0.3526712
-0.5663119	0.4114497
-0.6472136	0.4702282
-0.7608452	0.2472136
-0.6657396	0.2163119
-0.5706339	0.1854102
-0.4619398	0.1913417
-0.3695518	0.1530734
-0.2598076	0.15
-0.2	0
-0.09510565	-0.0309017
-0.1414214	-0.1414214
-0.2598076	-0.15
-0.3	0
-0.4	0
-0.5	0
-0.6	0
-0.7	0
-0.8	0
-0.7608452	-0.2472136
-0.6657396	-0.2163119
-0.5706339	-0.1854102
-0.4619398	-0.1913417
-0.3695518	-0.1530734
-0.4854102	-0.3526712
-0.5663119	-0.4114497
-0.6472136	-0.4702282
-0.7281153	-0.5290067
